,Record Type,College Student ID,CIP Code,Comprehensive Transition and Postsecondary (CTP) Program Indicator,Approved Prison Education Program Indicator,Total Amount Student Received in Private Education Loans During Students Entire Enrollmentin the Program,Total Amount of Institutional Debt During Students Entire Enrollment in the Program,Total Amount of Tution & Fees Assessed During Students Entire Enrollment in the Program,"Total Amount of Allowance for books, supplies",Total Amount of Grants and Scholarships the student received During Students Entire Enrollment in the Program,Annual Cost of Attendance (COA),Tuition and Fees Amount for Award Year being Reported,Residency Tuition Status by State or District,"Allowance for Books, Supplies, and Equipment",Allowance for Housing and Food,Institutional Grants and Scholarships,"Other State, Tribal, or Private Grants",Private Loans Amount,Invalid Flag,GE Program Flag
0,TA,5073328,520201,N,N,0,0,50316,5250,0,,,,,,,,,N,N
1,TA,5120607,520301,N,N,0,0,13796,800,0,,,,,,,,,N,N
2,TA,5227432,440701,N,N,0,0,138988,1600,0,,,,,,,,,N,N
3,TA,5421790,440701,N,N,0,0,72100,800,0,,,,,,,,,N,N
4,TA,5601942,440701,N,N,0,0,87844,1600,0,,,,,,,,,N,N
5,TA,5691450,440701,N,N,0,0,99710,1600,0,,,,,,,,,N,N
6,TA,5734939,510000,N,N,0,0,115124,800,14000,,,,,,,,,N,N
7,TA,5826771,440701,N,N,0,0,87644,1600,0,,,,,,,,,N,N
8,TA,5857372,440701,N,N,0,0,44438,800,0,,,,,,,,,N,N
9,TA,5885610,260101,N,N,23345,0,355958,1200,24000,,,,,,,,,N,N
10,TA,5885610,510000,N,N,23345,0,355958,1200,24000,,,,,,,,,N,N
11,TA,5887952,520201,N,N,0,0,588582,3250,108391,,,,,,,,,N,N
12,TA,5891172,520301,N,N,40000,0,258164,2400,45676,,,,,,,,,N,N
13,TA,5930237,513801,N,N,15000,0,114147,800,0,,,,,,,,,N,N
14,TA,5949366,513801,N,N,0,0,498179,3200,166260,,,,,,,,,N,N
15,TA,6017588,520201,N,N,0,0,426728,5200,149136,,,,,,,,,N,N
16,TA,6029556,513801,N,N,0,0,590928,3200,131580,,,,,,,,,N,N
17,TA,6079363,513801,N,N,33566,0,520896,4400,145375,,,,,,,,,N,N
18,TA,6092685,440701,N,N,0,0,44438,800,0,,,,,,,,,N,N
19,TA,6127269,513801,N,N,0,0,169656,800,0,,,,,,,,,N,N
20,TA,6132398,510000,N,N,20000,0,457344,3200,99115,,,,,,,,,N,N
21,TA,6133938,510000,N,N,0,0,37544,400,0,,,,,,,,,N,N
22,TA,6140005,420101,N,N,0,0,676485,5250,108814,,,,,,,,,N,N
23,TA,6153597,520201,N,N,0,0,316998,3200,84978,,,,,,,,,N,N
24,TA,6154595,520201,N,N,0,0,351129,3200,157267,,,,,,,,,N,N
25,TA,6160143,520301,N,N,0,0,27052,800,0,,,,,,,,,N,N
26,TA,6163738,513801,N,N,0,0,448217,3200,88711,,,,,,,,,N,N
27,TA,6165895,513801,N,N,30000,0,494875,4400,104000,,,,,,,,,N,N
28,TA,6166924,520301,N,N,0,0,486561,5200,115000,,,,,,,,,N,N
29,TA,6167542,520201,N,N,48162,0,625022,2400,45000,,,,,,,,,N,N
30,TA,6167542,520301,N,N,48162,0,625022,2400,45000,,,,,,,,,N,N
31,TA,6167544,520201,N,N,0,0,409375,4000,86000,,,,,,,,,N,N
32,TA,6168076,520201,N,N,4000,0,450488,4000,144522,,,,,,,,,N,N
33,TA,6168275,510000,N,N,0,0,755401,4000,75000,,,,,,,,,N,N
34,TA,6168892,510000,N,N,0,0,664726,4000,44810,,,,,,,,,N,N
35,TA,6168895,520301,N,N,0,0,473582,3200,151288,,,,,,,,,N,N
36,TA,6170007,513801,N,N,0,0,752155,3200,112760,,,,,,,,,N,N
37,TA,6170057,510000,N,N,0,0,88412,2400,52114,,,,,,,,,N,N
38,TA,6170309,260101,N,N,0,0,838929,4400,103008,,,,,,,,,N,N
39,TA,6170375,513801,N,N,0,0,481389,3200,88000,,,,,,,,,N,N
40,TA,6171371,520201,N,N,0,0,461503,4000,80000,,,,,,,,,N,N
41,TA,6171383,440701,N,N,0,0,79832,800,0,,,,,,,,,N,N
42,TA,6173677,510000,N,N,0,0,383686,3200,80000,,,,,,,,,N,N
43,TA,6173813,420101,N,N,0,0,787736,3200,100560,,,,,,,,,N,N
44,TA,6173834,513801,N,N,0,0,367659,3200,103378,,,,,,,,,N,N
45,TA,6173838,513801,N,N,87118,0,349653,3200,98777,,,,,,,,,N,N
46,TA,6173847,513801,N,N,0,0,320431,3200,85000,,,,,,,,,N,N
47,TA,6173857,510000,N,N,0,0,518579,2800,80876,,,,,,,,,N,N
48,TA,6173859,420101,N,N,0,0,4810,800,0,,,,,,,,,N,N
49,TA,6173870,512313,N,N,0,0,581448,3200,84000,,,,,,,,,N,N
50,TA,6173885,513801,N,N,0,0,419838,3200,84000,,,,,,,,,N,N
51,TA,6173888,513801,N,N,0,0,513019,3200,98000,,,,,,,,,N,N
52,TA,6173998,513801,N,N,0,0,287180,2400,66000,,,,,,,,,N,N
53,TA,6174106,513801,N,N,0,0,426634,3200,104008,,,,,,,,,N,N
54,TA,6174109,513801,N,N,0,0,525546,3200,119392,,,,,,,,,N,N
55,TA,6174110,420101,N,N,0,0,888604,2400,96122,,,,,,,,,N,N
56,TA,6174112,520201,N,N,20414,0,311622,3200,90983,,,,,,,,,N,N
57,TA,6174257,520201,N,N,0,0,487738,3200,120624,,,,,,,,,N,N
58,TA,6174278,512313,N,N,42215,0,491631,3200,117274,,,,,,,,,N,N
59,TA,6174283,513801,N,N,68177,0,141047,800,0,,,,,,,,,N,N
60,TA,6174382,513801,N,N,0,0,683168,2800,99646,,,,,,,,,N,N
61,TA,6174395,513801,N,N,16000,0,417872,3200,97688,,,,,,,,,N,N
62,TA,6174501,513801,N,N,2100,0,487598,3200,86000,,,,,,,,,N,N
63,TA,6174512,420101,N,N,0,0,512894,3200,89422,,,,,,,,,N,N
64,TA,6174589,510000,N,N,0,0,509832,3200,110298,,,,,,,,,N,N
65,TA,6174611,520301,N,N,0,0,370143,3200,111592,,,,,,,,,N,N
66,TA,6174625,513801,N,N,0,0,486637,3200,93000,,,,,,,,,N,N
67,TA,6174754,513801,N,N,0,0,455395,3200,117122,,,,,,,,,N,N
68,TA,6174787,510000,N,N,0,0,397481,2000,50000,,,,,,,,,N,N
69,TA,6174826,512313,N,N,0,0,557347,3200,105460,,,,,,,,,N,N
70,TA,6175150,520301,N,N,0,0,503542,3200,138454,,,,,,,,,N,N
71,TA,6175162,513801,N,N,0,0,382401,3200,111378,,,,,,,,,N,N
72,TA,6175360,513801,N,N,0,0,428103,3200,108804,,,,,,,,,N,N
73,TA,6175374,260101,N,N,0,0,619546,3200,109496,,,,,,,,,N,N
74,TA,6175416,510000,N,N,0,0,551147,3200,144000,,,,,,,,,N,N
75,TA,6175421,520301,N,N,0,0,468203,3200,122408,,,,,,,,,N,N
76,TA,6175450,510000,N,N,0,0,428674,3200,109550,,,,,,,,,N,N
77,TA,6175466,513801,N,N,0,0,571445,3200,93939,,,,,,,,,N,N
78,TA,6175475,512313,N,N,0,0,562461,3200,101530,,,,,,,,,N,N
79,TA,6175789,510000,N,N,0,0,497327,3200,107000,,,,,,,,,N,N
80,TA,6175855,513801,N,N,0,0,374938,3200,84000,,,,,,,,,N,N
81,TA,6175858,512313,N,N,110900,0,507668,3200,85000,,,,,,,,,N,N
82,TA,6176057,420101,N,N,0,0,336954,2400,49944,,,,,,,,,N,N
83,TA,6176063,513801,N,N,0,0,11646,0,0,,,,,,,,,N,N
84,TA,6176118,520201,N,N,0,0,383216,3200,96694,,,,,,,,,N,N
85,TA,6176337,513801,N,N,0,0,538196,3200,92000,,,,,,,,,N,N
86,TA,6176356,520201,N,N,0,0,342887,3200,80000,,,,,,,,,N,N
87,TA,6176427,520201,N,N,0,0,393898,3200,66000,,,,,,,,,N,N
88,TA,6176460,420101,N,N,46377,0,575237,3200,114200,,,,,,,,,N,N
89,TA,6176710,260101,N,N,18360,0,451861,3200,106629,,,,,,,,,N,N
90,TA,6176944,513801,N,N,0,0,399828,3200,30616,,,,,,,,,N,N
91,TA,6177146,520301,N,N,0,0,309733,2800,71356,,,,,,,,,N,N
92,TA,6177442,510000,N,N,0,0,779848,3200,98543,,,,,,,,,N,N
93,TA,6177677,520301,N,N,0,0,449756,2800,96685,,,,,,,,,N,N
94,TA,6177856,260101,N,N,0,0,568189,3200,98943,,,,,,,,,N,N
95,TA,6178055,513801,N,N,0,0,142754,800,26537,,,,,,,,,N,N
96,TA,6178330,512313,N,N,0,0,385511,2400,97031,,,,,,,,,N,N
97,TA,6178453,512313,N,N,0,0,321312,2000,21414,,,,,,,,,N,N
98,TA,6178505,260101,N,N,0,0,340119,2000,45000,,,,,,,,,N,N
99,TA,6179879,510000,N,N,0,0,288805,2000,85235,,,,,,,,,N,N
100,TA,6180384,512313,N,N,0,0,330274,2400,91055,,,,,,,,,N,N
101,TA,6180668,260101,N,N,0,0,184696,1200,21240,,,,,,,,,N,N
102,TA,6180836,520201,N,N,12000,0,517117,2400,97386,,,,,,,,,N,N
103,TA,6180885,420101,N,N,0,0,823265,2000,33425,,,,,,,,,N,N
104,TA,6180918,260101,N,N,0,0,405375,2000,26993,,,,,,,,,N,N
105,TA,6180923,260101,N,N,0,0,300994,2400,70934,,,,,,,,,N,N
106,TA,6180935,520201,N,N,0,0,262050,2000,63566,,,,,,,,,N,N
107,TA,6180981,520201,N,N,0,0,275383,2400,55733,,,,,,,,,N,N
108,TA,6181073,520201,N,N,0,0,41559,400,11978,,,,,,,,,N,N
109,TA,6181160,440701,N,N,0,0,97970,1600,0,,,,,,,,,N,N
110,TA,6181169,512313,N,N,0,0,355797,2400,89600,,,,,,,,,N,N
111,TA,6181472,513801,N,N,0,0,201324,2400,75590,,,,,,,,,N,N
112,TA,6181628,260101,N,N,0,0,101195,1200,36000,,,,,,,,,N,N
113,TA,6181656,513801,N,N,13303,0,295519,1600,66006,,,,,,,,,N,N
114,TA,6181672,260101,N,N,0,0,270054,1200,36504,,,,,,,,,N,N
115,TA,6181765,513801,N,N,0,0,151447,800,0,,,,,,,,,N,N
116,TA,6181869,260101,N,N,0,0,179803,1600,62591,,,,,,,,,N,N
117,TA,6182012,513801,N,N,0,0,342018,1200,45059,,,,,,,,,N,N
118,TA,6182033,520301,N,N,0,0,160106,1200,44876,,,,,,,,,N,N
119,TA,6182071,520301,N,N,0,0,95490,1600,62000,,,,,,,,,N,N
120,TA,6182108,513801,N,N,0,0,141301,800,0,,,,,,,,,N,N
121,TA,6182141,520201,N,N,0,0,184730,1200,37500,,,,,,,,,N,N
122,TA,6182172,260101,N,N,0,0,108125,1200,41607,,,,,,,,,N,N
123,TA,6182328,520201,N,N,0,0,135262,1200,28074,,,,,,,,,N,N
124,TA,6182429,260101,N,N,0,0,197156,1600,50512,,,,,,,,,N,N
125,TA,6182559,513801,N,N,0,0,167647,800,24811,,,,,,,,,N,N
126,TA,6182649,260101,N,N,0,0,278612,1200,36428,,,,,,,,,N,N
127,TA,6183031,260101,N,N,0,0,238828,1600,52920,,,,,,,,,N,N
128,TA,6183263,260101,N,N,0,0,230579,1200,33000,,,,,,,,,N,N
129,TA,6183734,512313,N,N,0,0,241306,800,25383,,,,,,,,,N,N
130,TA,6183797,513801,N,N,0,0,106047,800,0,,,,,,,,,N,N
131,TA,6184107,440701,N,N,0,0,86948,1600,0,,,,,,,,,N,N
132,TA,6184281,513801,N,N,63145,0,114147,800,0,,,,,,,,,N,N
133,TA,6184414,440701,N,N,0,0,87944,1600,0,,,,,,,,,N,N
134,TA,6184599,260101,N,N,0,0,288130,1600,68308,,,,,,,,,N,N
135,TA,6184661,440701,N,N,0,0,114336,1600,0,,,,,,,,,N,N
136,TA,6184697,440701,N,N,0,0,102848,1600,0,,,,,,,,,N,N
