INSTNM,2018,2019,2020,2021,2022
Grand Canyon University,76338,81931,87882,93809,91848
Boise State University,17010,17618,18409,18297,18535
University of Idaho,9858,9737,9542,8897,9088
Carroll College,1336,1295,1193,1102,1115
Montana Technological University,1793,1696,1584,1547,1545
Montana State University,15227,15327,15260,14755,15083
The University of Montana,9839,9144,8611,7984,8153
Rocky Mountain College,983,989,966,1027,1025
Gonzaga University,7438,7460,7424,7087,7243
Washington State University,28994,29846,29952,29423,27901
University of Washington-Seattle Campus,53055,54277,50917,50913,51050
