INSTNM,2018,2019,2020,2021,2022
Grand Canyon University,46231,50730,55333,59695,60170
Boise State University,14674,15202,15926,15766,15968
University of Idaho,8210,8011,7787,7049,7156
Carroll College,1336,1282,1180,1097,1089
Montana Technological University,1601,1520,1432,1387,1400
Montana State University,13875,14008,13955,13426,13632
The University of Montana,7959,7261,6770,6126,6133
Rocky Mountain College,886,864,814,814,781
Gonzaga University,5683,5730,5620,5244,5352
Washington State University,23525,24257,24281,23731,22306
University of Washington-Seattle Campus,34098,34689,31939,32005,31710
