INSTNM,2018,2019,2020,2021,2022
Grand Canyon University,4029,6659,7565,7599,8445
Boise State University,2884,3027,2870,3203,3174
University of Idaho,1434,1475,1425,1656,1951
Carroll College,254,312,270,280,296
Montana Technological University,276,275,275,325,309
Montana State University,3384,3366,3257,3866,3752
The University of Montana,1510,1451,1225,1542,1621
Rocky Mountain College,252,245,235,220,261
Gonzaga University,1196,1248,1052,1311,1217
Washington State University,5164,4812,4191,4007,3991
University of Washington-Seattle Campus,7161,6992,7027,7252,7386
