INSTNM,2018,2019,2020,2021,2022
Grand Canyon University,13289,11701,11448,10648,11334
Boise State University,1561,1541,1610,1630,1634
University of Idaho,538,536,473,524,516
Carroll College,42,39,38,39,44
Montana Technological University,119,87,60,69,64
Montana State University,824,742,649,717,473
The University of Montana,573,567,574,646,600
Rocky Mountain College,43,50,54,36,50
Gonzaga University,136,107,126,163,165
Washington State University,2701,2633,2515,2389,2010
University of Washington-Seattle Campus,1626,1513,1584,1551,1420
