INSTNM,2017-18,2018-19,2019-20,2020-21,2021-22
Grand Canyon University,1042,1074,1856,2244,2038
Boise State University,719,690,700,589,609
University of Idaho,583,500,507,443,478
Carroll College,61,62,62,43,53
Montana Technological University,65,78,68,70,73
Montana State University,608,563,568,485,598
The University of Montana,586,525,429,351,452
Rocky Mountain College,94,82,90,88,74
Gonzaga University,150,181,150,172,192
Washington State University,1343,1420,1222,1063,979
University of Washington-Seattle Campus,1471,1403,1378,1230,1306
