INSTNM,2017-18,2018-19,2019-20,2020-21,2021-22
Grand Canyon University,22887,24607,26291,27481,28023
Boise State University,5423,5071,4805,4370,4307
University of Idaho,2944,2741,2564,2384,2142
Carroll College,301,262,257,216,214
Montana Technological University,497,455,430,370,325
Montana State University,3432,3359,3175,2884,2657
The University of Montana,3339,2972,2636,2170,2322
Rocky Mountain College,319,306,296,279,249
Gonzaga University,692,707,623,645,710
Washington State University,8165,8099,7466,6986,6456
University of Washington-Seattle Campus,6764,6647,6503,6366,6088
