INSTNM,2017-18,2018-19,2019-20,2020-21,2021-22
Grand Canyon University,95,98,98,97,97
Boise State University,52,53,52,63,74
University of Idaho,88,90,91,94,74
Carroll College,99,100,100,100,100
Montana Technological University,75,68,73,73,81
Montana State University,69,71,86,70,62
The University of Montana,49,55,66,69,51
Rocky Mountain College,99,100,100,99,100
Gonzaga University,100,99,100,100,100
Washington State University,72,74,78,74,71
University of Washington-Seattle Campus,44,40,38,35,40
