INSTNM,2018-19,2019-20,2020-21,2021-22,2022-23
Grand Canyon University,677,757,757,788,798
Boise State University,2435,2536,2536,2528,2832
University of Idaho,2086,2122,2122,2158,2214
Carroll College,980,980,1080,1200,1200
Montana Technological University,1704,1724,1690,1639,1649
Montana State University,1623,1671,1717,1874,1903
The University of Montana,1897,2002,2078,2140,2204
Rocky Mountain College,590,590,610,610,910
Gonzaga University,840,860,860,910,935
Washington State University,1864,1888,1968,1960,1993
University of Washington-Seattle Campus,1080,1095,1116,1149,1053
