INSTNM,2018-19,2019-20,2020-21,2021-22,2022-23
Grand Canyon University,5000,5000,5200,5300,5400
Boise State University,4662,5197,5386,6713,6910
University of Idaho,None,None,None,None,None
Carroll College,5036,5036,5112,5112,5266
Montana Technological University,4366,4534,4708,4708,4708
Montana State University,None,None,None,None,None
The University of Montana,4168,4294,4378,4730,5108
Rocky Mountain College,4018,4140,4284,4413,4544
Gonzaga University,6034,6240,6671,6922,7234
Washington State University,6900,7150,7400,7400,7946
University of Washington-Seattle Campus,None,None,None,None,None
