INSTNM,2018,2019,2020,2021,2022
Grand Canyon University,16399,16419,16424,16401,16407
Boise State University,5259,5532,5532,5532,5532
University of Idaho,5778,6182,6182,6182,6182
Carroll College,34506,35300,36182,36906,37828
Montana Technological University,5707,5707,5707,5707,5878
Montana State University,5654,5654,5654,5654,5824
The University of Montana,5347,5352,5352,5352,5515
Rocky Mountain College,27982,28962,29976,30725,31342
Gonzaga University,42370,44280,46060,47560,49800
Washington State University,9720,9953,10202,10457,10708
University of Washington-Seattle Campus,10127,10370,10629,10927,11189
