INSTNM,2018,2019,2020,2021,2022
Grand Canyon University,16399,16419,16424,16401,16407
Boise State University,21341,22452,22452,22452,22869
University of Idaho,23414,25418,25418,25418,25418
Carroll College,34506,35300,36182,36906,37828
Montana Technological University,20791,20791,20791,20791,21414
Montana State University,23082,23890,25087,26086,27391
The University of Montana,22990,24144,25106,26112,27168
Rocky Mountain College,27982,28962,29976,30725,31342
Gonzaga University,42370,44280,46060,47560,49800
Washington State University,23956,24531,25145,25773,26392
University of Washington-Seattle Campus,35508,37071,37998,38757,39687
