INSTNM,2018,2019,2020,2021,2022
Grand Canyon University,54139,58997,63752,65870,66769
Boise State University,22033,22896,20763,22404,22922
University of Idaho,9568,9392,8366,8631,8809
Carroll College,1327,1216,1100,1098,1125
Montana Technological University,1591,1493,1431,1474,1437
Montana State University,14851,14760,14228,14648,14625
The University of Montana,8306,7714,6975,7223,7215
Rocky Mountain College,897,850,839,817,845
Gonzaga University,5304,5211,4852,4986,5084
Washington State University,26098,26062,25470,24278,22612
University of Washington-Seattle Campus,32099,32046,32244,36201,36213
