School_ID,School,Close_Metrics
150066,Anderson University,6
183822,Bloomfield College,5
181297,Nebraska Methodist College of Nursing & Allied Health,5
220710,Maryville College,5
127653,Naropa University,4
133872,AdventHealth University,4
141361,Young Harris College,4
128498,Albertus Magnus College,4
140696,Oglethorpe University,4
149505,Trinity Christian College,4
151777,Manchester University,4
152381,Saint Mary-of-the-Woods College,4
153162,Cornell College,4
153366,Graceland University-Lamoni,4
154350,Simpson College,4
142294,The College of Idaho,4
148131,Quincy University,4
100937,Birmingham-Southern College,4
167215,New England Law-Boston,4
162760,Hood College,4
160074,Franciscan Missionaries of Our Lady University,4
168786,Aquinas College,4
180595,Rocky Mountain College,4
175227,Dunwoody College of Technology,4
183974,Centenary University,4
169363,Concordia University Ann Arbor,4
193353,Mount Saint Mary College,4
199032,Montreat College,4
199306,Pfeiffer University,4
199759,Southeastern Baptist Theological Seminary,4
199865,Warren Wilson College,4
203085,Heidelberg University,4
206507,Wilmington College,4
186618,Saint Elizabeth University,4
212656,Geneva College,4
216667,Washington & Jefferson College,4
218539,Presbyterian College,4
217013,Wilson College,4
220598,Lane College,4
221953,Tusculum University,4
225247,Hardin-Simmons University,4
231420,Averett University,4
232672,Mary Baldwin University,4
234915,City University of Seattle,4
238193,Alverno College,4
238333,Beloit College,4
239390,Mount Mary University,4
239628,Ripon College,4
243568,Universidad Central Del Caribe,4
445708,Johnson & Wales University-Charlotte,4
