School_ID,School,Carnegie Classification 2018,Religious Affiliation,12-Month FTE Enrollment,Academic Support Expenses Per FTE (FASB),Core Expenses (FASB),Endowment Asset Value,Institutional Support Expenses Per FTE (FASB),Instruction Expenses Per FTE (FASB),Student Services Expenses Per FTE (FASB)
100937,Birmingham-Southern College,21,71,1019.0,3142.0,35835958.0,52826730.0,11756.0,10898.0,9143.0
101435,Huntingdon College,22,71,788.0,2564.0,20187659.0,53910160.0,5545.0,7839.0,9672.0
101675,Miles College,22,55,1245.0,1825.0,26469308.0,27539903.0,8047.0,3907.0,7482.0
102234,Spring Hill College,21,30,1073.0,3235.0,31704839.0,10946191.0,8274.0,8919.0,7612.0
102270,Stillman College,21,66,754.0,1342.0,20460263.0,20713966.0,14996.0,5518.0,5279.0
102669,Alaska Pacific University,20,71,477.0,764.0,18568631.0,96508897.0,8528.0,14628.0,7461.0
106810,Crowley's Ridge College,22,74,197.0,2682.0,3797774.0,1581037.0,6144.0,3345.0,7107.0
107080,Hendrix College,21,71,1142.0,3854.0,37705235.0,203248997.0,6152.0,12366.0,9740.0
107512,Ouachita Baptist University,22,75,1712.0,1031.0,40172551.0,129521253.0,4592.0,9962.0,6860.0
107558,University of the Ozarks,22,66,806.0,2998.0,28824199.0,134710303.0,14354.0,12285.0,6125.0
107600,Philander Smith University,22,71,877.0,3058.0,22232560.0,16416186.0,9870.0,5274.0,6640.0
110097,Biola University,17,88,4449.0,3237.0,140421000.0,146197897.0,8213.0,12843.0,5904.0
110413,California Lutheran University,18,39,3591.0,2025.0,110831491.0,133747441.0,5418.0,11410.0,6676.0
112075,Concordia University-Irvine,18,68,3410.0,2260.0,78522874.0,56461674.0,6607.0,8839.0,5322.0
112084,San Diego Christian College,22,88,294.0,777.0,6444112.0,693502.0,6529.0,5296.0,9318.0
113698,Dominican University of California,19,-2,2176.0,2114.0,60071016.0,30807092.0,7178.0,13027.0,5287.0
117104,Life Pacific University,22,79,418.0,4699.0,11905157.0,4722223.0,8462.0,7158.0,8163.0
117575,Southern California Seminary,24,54,134.0,0.0,2697026.0,115851.0,6006.0,8250.0,5643.0
117627,La Sierra University,19,95,1404.0,3241.0,66740948.0,116875857.0,15716.0,13181.0,5544.0
117751,The Master's University and Seminary,19,42,2151.0,1717.0,42787140.0,52823541.0,3055.0,8439.0,5301.0
119173,Mount Saint Mary's University,18,30,2547.0,3836.0,81196897.0,160218110.0,8633.0,13147.0,6263.0
120537,Hope International University,19,48,1069.0,1709.0,21032216.0,9369394.0,5014.0,5301.0,7651.0
120768,Pacific Oaks College,32,-2,753.0,5526.0,19582882.0,11075597.0,9150.0,5475.0,5856.0
121309,Point Loma Nazarene University,18,59,3928.0,3543.0,111283753.0,68120443.0,5872.0,10688.0,7151.0
