School_ID,METRIC_NAME,METRIC_VALUE,School,Carnegie Classification 2018,Religious Affiliation
100937,Endowment Asset Value,52826730.0,Birmingham-Southern College,21,71
100937,12-Month FTE Enrollment,1019.0,Birmingham-Southern College,21,71
100937,Core Expenses (FASB),35835958.0,Birmingham-Southern College,21,71
100937,Instruction Expenses Per FTE (FASB),10898.0,Birmingham-Southern College,21,71
100937,Academic Support Expenses Per FTE (FASB),3142.0,Birmingham-Southern College,21,71
100937,Institutional Support Expenses Per FTE (FASB),11756.0,Birmingham-Southern College,21,71
100937,Student Services Expenses Per FTE (FASB),9143.0,Birmingham-Southern College,21,71
101435,Endowment Asset Value,53910160.0,Huntingdon College,22,71
101435,12-Month FTE Enrollment,788.0,Huntingdon College,22,71
101435,Core Expenses (FASB),20187659.0,Huntingdon College,22,71
101435,Instruction Expenses Per FTE (FASB),7839.0,Huntingdon College,22,71
101435,Academic Support Expenses Per FTE (FASB),2564.0,Huntingdon College,22,71
101435,Institutional Support Expenses Per FTE (FASB),5545.0,Huntingdon College,22,71
101435,Student Services Expenses Per FTE (FASB),9672.0,Huntingdon College,22,71
101675,Endowment Asset Value,27539903.0,Miles College,22,55
101675,12-Month FTE Enrollment,1245.0,Miles College,22,55
101675,Core Expenses (FASB),26469308.0,Miles College,22,55
101675,Instruction Expenses Per FTE (FASB),3907.0,Miles College,22,55
101675,Academic Support Expenses Per FTE (FASB),1825.0,Miles College,22,55
101675,Institutional Support Expenses Per FTE (FASB),8047.0,Miles College,22,55
101675,Student Services Expenses Per FTE (FASB),7482.0,Miles College,22,55
102234,Endowment Asset Value,10946191.0,Spring Hill College,21,30
102234,12-Month FTE Enrollment,1073.0,Spring Hill College,21,30
102234,Core Expenses (FASB),31704839.0,Spring Hill College,21,30
102234,Instruction Expenses Per FTE (FASB),8919.0,Spring Hill College,21,30
102234,Academic Support Expenses Per FTE (FASB),3235.0,Spring Hill College,21,30
102234,Institutional Support Expenses Per FTE (FASB),8274.0,Spring Hill College,21,30
102234,Student Services Expenses Per FTE (FASB),7612.0,Spring Hill College,21,30
102270,Endowment Asset Value,20713966.0,Stillman College,21,66
102270,12-Month FTE Enrollment,754.0,Stillman College,21,66
102270,Core Expenses (FASB),20460263.0,Stillman College,21,66
102270,Instruction Expenses Per FTE (FASB),5518.0,Stillman College,21,66
102270,Academic Support Expenses Per FTE (FASB),1342.0,Stillman College,21,66
102270,Institutional Support Expenses Per FTE (FASB),14996.0,Stillman College,21,66
102270,Student Services Expenses Per FTE (FASB),5279.0,Stillman College,21,66
102669,Endowment Asset Value,96508897.0,Alaska Pacific University,20,71
102669,12-Month FTE Enrollment,477.0,Alaska Pacific University,20,71
102669,Core Expenses (FASB),18568631.0,Alaska Pacific University,20,71
102669,Instruction Expenses Per FTE (FASB),14628.0,Alaska Pacific University,20,71
102669,Academic Support Expenses Per FTE (FASB),764.0,Alaska Pacific University,20,71
102669,Institutional Support Expenses Per FTE (FASB),8528.0,Alaska Pacific University,20,71
102669,Student Services Expenses Per FTE (FASB),7461.0,Alaska Pacific University,20,71
106810,Endowment Asset Value,1581037.0,Crowley's Ridge College,22,74
106810,12-Month FTE Enrollment,197.0,Crowley's Ridge College,22,74
106810,Core Expenses (FASB),3797774.0,Crowley's Ridge College,22,74
106810,Instruction Expenses Per FTE (FASB),3345.0,Crowley's Ridge College,22,74
106810,Academic Support Expenses Per FTE (FASB),2682.0,Crowley's Ridge College,22,74
106810,Institutional Support Expenses Per FTE (FASB),6144.0,Crowley's Ridge College,22,74
106810,Student Services Expenses Per FTE (FASB),7107.0,Crowley's Ridge College,22,74
107080,Endowment Asset Value,203248997.0,Hendrix College,21,71
107080,12-Month FTE Enrollment,1142.0,Hendrix College,21,71
107080,Core Expenses (FASB),37705235.0,Hendrix College,21,71
107080,Instruction Expenses Per FTE (FASB),12366.0,Hendrix College,21,71
107080,Academic Support Expenses Per FTE (FASB),3854.0,Hendrix College,21,71
107080,Institutional Support Expenses Per FTE (FASB),6152.0,Hendrix College,21,71
107080,Student Services Expenses Per FTE (FASB),9740.0,Hendrix College,21,71
107512,Endowment Asset Value,129521253.0,Ouachita Baptist University,22,75
107512,12-Month FTE Enrollment,1712.0,Ouachita Baptist University,22,75
107512,Core Expenses (FASB),40172551.0,Ouachita Baptist University,22,75
107512,Instruction Expenses Per FTE (FASB),9962.0,Ouachita Baptist University,22,75
107512,Academic Support Expenses Per FTE (FASB),1031.0,Ouachita Baptist University,22,75
107512,Institutional Support Expenses Per FTE (FASB),4592.0,Ouachita Baptist University,22,75
107512,Student Services Expenses Per FTE (FASB),6860.0,Ouachita Baptist University,22,75
107558,Endowment Asset Value,134710303.0,University of the Ozarks,22,66
107558,12-Month FTE Enrollment,806.0,University of the Ozarks,22,66
107558,Core Expenses (FASB),28824199.0,University of the Ozarks,22,66
107558,Instruction Expenses Per FTE (FASB),12285.0,University of the Ozarks,22,66
107558,Academic Support Expenses Per FTE (FASB),2998.0,University of the Ozarks,22,66
107558,Institutional Support Expenses Per FTE (FASB),14354.0,University of the Ozarks,22,66
107558,Student Services Expenses Per FTE (FASB),6125.0,University of the Ozarks,22,66
107600,Endowment Asset Value,16416186.0,Philander Smith University,22,71
107600,12-Month FTE Enrollment,877.0,Philander Smith University,22,71
107600,Core Expenses (FASB),22232560.0,Philander Smith University,22,71
107600,Instruction Expenses Per FTE (FASB),5274.0,Philander Smith University,22,71
107600,Academic Support Expenses Per FTE (FASB),3058.0,Philander Smith University,22,71
107600,Institutional Support Expenses Per FTE (FASB),9870.0,Philander Smith University,22,71
107600,Student Services Expenses Per FTE (FASB),6640.0,Philander Smith University,22,71
