School_ID,School,METRIC_NAME,METRIC_VALUE
100690,Amridge University,Institutional Support Expenses Per FTE (FASB),6971
100690,Amridge University,Endowment Asset Value,174864
100690,Amridge University,Core Expenses (FASB),8056185
100690,Amridge University,12-Month FTE Enrollment,481
100690,Amridge University,Academic Support Expenses Per FTE (FASB),1557
100690,Amridge University,Instruction Expenses Per FTE (FASB),5671
100690,Amridge University,Student Services Expenses Per FTE (FASB),2550
100937,Birmingham-Southern College,Instruction Expenses Per FTE (FASB),10898
100937,Birmingham-Southern College,Core Expenses (FASB),35835958
100937,Birmingham-Southern College,Endowment Asset Value,52826730
100937,Birmingham-Southern College,12-Month FTE Enrollment,1019
100937,Birmingham-Southern College,Academic Support Expenses Per FTE (FASB),3142
100937,Birmingham-Southern College,Student Services Expenses Per FTE (FASB),9143
100937,Birmingham-Southern College,Institutional Support Expenses Per FTE (FASB),11756
101189,Faulkner University,Endowment Asset Value,20078568
101189,Faulkner University,Core Expenses (FASB),47182579
101189,Faulkner University,Academic Support Expenses Per FTE (FASB),1400
101189,Faulkner University,Instruction Expenses Per FTE (FASB),8310
101189,Faulkner University,Institutional Support Expenses Per FTE (FASB),3540
101189,Faulkner University,12-Month FTE Enrollment,2742
101189,Faulkner University,Student Services Expenses Per FTE (FASB),3926
101435,Huntingdon College,Endowment Asset Value,53910160
101435,Huntingdon College,Academic Support Expenses Per FTE (FASB),2564
101435,Huntingdon College,Core Expenses (FASB),20187659
101435,Huntingdon College,12-Month FTE Enrollment,788
101435,Huntingdon College,Institutional Support Expenses Per FTE (FASB),5545
101435,Huntingdon College,Instruction Expenses Per FTE (FASB),7839
101435,Huntingdon College,Student Services Expenses Per FTE (FASB),9672
101453,Heritage Christian University,Endowment Asset Value,15040187
101453,Heritage Christian University,Core Expenses (FASB),3589652
101453,Heritage Christian University,Academic Support Expenses Per FTE (FASB),3519
101453,Heritage Christian University,12-Month FTE Enrollment,90
101453,Heritage Christian University,Instruction Expenses Per FTE (FASB),7714
101453,Heritage Christian University,Student Services Expenses Per FTE (FASB),6230
101453,Heritage Christian University,Institutional Support Expenses Per FTE (FASB),20382
101675,Miles College,Core Expenses (FASB),26469308
101675,Miles College,Endowment Asset Value,27539903
101675,Miles College,12-Month FTE Enrollment,1245
101675,Miles College,Institutional Support Expenses Per FTE (FASB),8047
101675,Miles College,Academic Support Expenses Per FTE (FASB),1825
101675,Miles College,Student Services Expenses Per FTE (FASB),7482
101675,Miles College,Instruction Expenses Per FTE (FASB),3907
101693,University of Mobile,Endowment Asset Value,23843738
101693,University of Mobile,Core Expenses (FASB),20531573
101693,University of Mobile,12-Month FTE Enrollment,1320
101693,University of Mobile,Institutional Support Expenses Per FTE (FASB),4277
101693,University of Mobile,Instruction Expenses Per FTE (FASB),8372
101693,University of Mobile,Academic Support Expenses Per FTE (FASB),554
101693,University of Mobile,Student Services Expenses Per FTE (FASB),2351
