Record Type,Institution Code (OPEID),Award Year,Program Name,CIP Code,CIP Year,Credential Level,Published Length of Program,Published Length of Program Measurement,Weeks in Title IV Academic Year,Qualifying Graduate Program Indicator,Count of Enrolled Students in the Program,State of Main Campus,MONTHS,ACAD_PROGRAMS_ID,ACPG_TITLE,ACPG_CMPL_MONTHS,ACPG_CIP,MATCH
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48.0,ANUR.BS,Accelerated Nursing,15.0,51.3801,
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48.0,ACCT.BA,Accounting,45.0,52.0301,
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48.0,ANZO.BA,Anthrozoology,45.0,51.2313,
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48.0,ARAA.AA,Art,24.0,50.0101,
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48.0,BCMB.BA,Biochemistry/Molecular Biology,45.0,26.0205,
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48.0,BIOL.BA,Biology,45.0,26.0101,
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48.0,BISE.BA,Biology for Secondary Education,45.0,13.1322,
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48.0,BUSA.BA,Business Administration,45.0,52.0201,
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48.0,BUAA.AA,Business Administration (AA),24.0,52.0201,
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48.0,ACSF.BA,Business: Accounting and Strategic Finance,45.0,52.0301,
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48.0,FNPL.BA,Business: Financial Planning,45.0,52.0801,
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48.0,BSMM.BA,Business: Management and Marketing,45.0,52.0201,
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48.0,CAEN.CERT,Career Enhancement Certificate,24.0,,
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48.0,CATH.BA,Catholic Studies,45.0,38.0203,
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48.0,CHEM.BA,Chemistry,45.0,40.0501,
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48.0,CHSE.BA,Chemistry for Secondary Education,45.0,13.1323,
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48.0,CEGR.BA,Civil Engineering,45.0,14.0801,
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48.0,CEGR.BS,Civil Engineering,45.0,14.0801,
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48.0,CEEV.BA,Civil Engineering Environmental Emphasis,45.0,14.0801,
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48.0,CEEV.BS,Civil Engineering Environmental Emphasis,45.0,14.0801,
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48.0,CLST.BA,Classical Studies,45.0,16.12,
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48.0,COMM.BA,Communication Studies,45.0,9.0101,
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48.0,COAA.AA,Communication Studies (AA),24.0,9.0101,
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48.0,COSE.BA,Communication Studies for Secondary Education,45.0,13.1331,
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48.0,COMH.BA,Community Health,45.0,51.1504,
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48.0,CSIS.BA,Computer Information Systems,45.0,11.0501,
