Record Type,Institution Code (OPEID),Award Year,Program Name,CIP Code,CIP Year,Credential Level,Published Length of Program,Published Length of Program Measurement,Weeks in Title IV Academic Year,Qualifying Graduate Program Indicator,Count of Enrolled Students in the Program,State of Main Campus,MONTHS,ACAD_PROGRAMS_ID,ACPG_TITLE,ACPG_CMPL_MONTHS,ACPG_CIP,MATCH
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,ANUR.BS,Accelerated Nursing,15,51.3801,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,ACCT.BA,Accounting,45,52.0301,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,ANZO.BA,Anthrozoology,45,51.2313,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,ARAA.AA,Art,24,50.0101,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,BCMB.BA,Biochemistry/Molecular Biology,45,26.0205,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,BIOL.BA,Biology,45,26.0101,1
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,BISE.BA,Biology for Secondary Education,45,13.1322,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,BUSA.BA,Business Administration,45,52.0201,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,BUAA.AA,Business Administration (AA),24,52.0201,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,ACSF.BA,Business: Accounting and Strategic Finance,45,52.0301,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,FNPL.BA,Business: Financial Planning,45,52.0801,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,BSMM.BA,Business: Management and Marketing,45,52.0201,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,CAEN.CERT,Career Enhancement Certificate,24,,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,CATH.BA,Catholic Studies,45,38.0203,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,CHEM.BA,Chemistry,45,40.0501,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,CHSE.BA,Chemistry for Secondary Education,45,13.1323,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,CEGR.BA,Civil Engineering,45,14.0801,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,CEGR.BS,Civil Engineering,45,14.0801,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,CEEV.BA,Civil Engineering Environmental Emphasis,45,14.0801,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,CEEV.BS,Civil Engineering Environmental Emphasis,45,14.0801,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,CLST.BA,Classical Studies,45,16.12,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,COMM.BA,Communication Studies,45,9.0101,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,COAA.AA,Communication Studies (AA),24,9.0101,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,COSE.BA,Communication Studies for Secondary Education,45,13.1331,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,COMH.BA,Community Health,45,51.1504,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,CSIS.BA,Computer Information Systems,45,11.0501,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,CSCI.BA,Computer Science,45,11.0701,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,CSAA.AA,Computer Science (AA),24,11.0701,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,CSCE.BA,Computer Science With an Emphasis,45,11.0701,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,CNED.CE,Continuing Education,,,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,CYBR.BA,Cybersecurity,45,11.1003,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,DSCI.BA,Data Science,45,27.9999,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,DENT.BA,Dental Hygiene,,26.0101,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,DNUR.BS,Direct-Entry Nursing,45,51.3801,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,EDUC,Education Licensure,24,13.1206,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,ELED.BA,Elementary Education,45,13.1202,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,ELSP.BA,Elementary Education K-8 & Special Education K-12,45,13.1202,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,MA32.BA,Engineering Mathematics,45,27.0301,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,ENME.BA,Engineering Science,45,14.1101,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,ENME.BS,Engineering Science: Engineering Mechanics Emphasis,45,14.1101,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,ENEP.BS,Engineering Science: Environmental & Public Health Emphas,45,14.1401,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,ENSC.BS,Engineering Science: Flexible Option,45,14.1301,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,ENGL.BA,English,45,23.0101,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,EGAA.AA,English (AA),24,23.0101,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,ENSE.BA,English Education (5-12),45,13.1305,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,EEDB.BA,English Education - Broadfield,,13.1305,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,ENLT.BA,English Literature,45,23.1401,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,ENSL.BA,English Literature for Secondary Education,45,13.1399,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,ENWR.BA,English Writing,45,23.1301,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,EWAA.AA,English Writing (AA),24,23.1301,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,ENTR.CERT,Entrepreneurship Certificate,24,52.0701,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,EVOI.BA,Environmental Outreach and Interpretation,45,3.0103,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,ENVP.BA,Environmental Policy & Project Management,45,3.0103,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,EVSS.BA,Environmental Science,45,3.0103,0
1,2526,20242025,"Biology/Biological Sciences, General.",260101,2020,3,4000,Y,,N,144,MT,48,ENVS.BA,Environmental Studies,45,3.0103,0
