INSTNM,Change
Grand Canyon University,1.2396109637488948
Boise State University,0.14844030118321982
University of Idaho,0.07742355237475596
Carroll College,-0.04761904761904767
Montana Technological University,0.37130801687763704
Montana State University,0.1536854670247687
The University of Montana,-0.08268887566924454
Rocky Mountain College,-0.10931174089068829
Gonzaga University,0.042959427207637235
Washington State University,-0.13099110821947513
University of Washington-Seattle Campus,0.06756955689680555
