INSTNM,2017,2018,2019,2020,2021,2022
Grand Canyon University,66,64,65,74,71,70
Boise State University,80,79,79,78,76,79
University of Idaho,82,81,77,77,75,74
Carroll College,84,81,80,84,80,78
Montana Technological University,74,73,79,80,76,72
Montana State University,76,77,77,78,76,75
The University of Montana,69,68,71,74,75,74
Rocky Mountain College,67,67,70,64,60,66
Gonzaga University,94,94,94,92,92,93
Washington State University,81,79,79,81,81,81
University of Washington-Seattle Campus,94,94,95,93,93,94
