INSTNM,2017,2018,2019,2020,2021
Grand Canyon University,20912,21403,21332,20818,21644
Boise State University,None,None,None,None,None
University of Idaho,None,None,None,None,None
Carroll College,26636,26586,25187,24037,24285
Montana Technological University,None,None,None,None,None
Montana State University,None,None,None,None,None
The University of Montana,None,None,None,None,None
Rocky Mountain College,20276,18330,18999,20615,19726
Gonzaga University,34085,35612,36578,36880,35529
Washington State University,None,None,None,None,None
University of Washington-Seattle Campus,None,None,None,None,None
