School,Order,Red,Blue,Green
Carroll College,0,60,25,82
The University of Montana,0,184,115,51
Montana Technological University,0,49,83,56
University of Providence,0,64,174,73
Rocky Mountain College,0,197,179,88
Gonzaga University,0,200,16,46
Whitman College,0,173,216,230
Whitworth University,0,255,102,102
The College of Idaho,0,164,147,99
Loras College,0,255,255,254
St. Thomas Aquinas College,0,244,189,71
Thomas More University,0,181,183,185
Carroll College,1,244,189,71
The University of Montana,1,64,174,73
Montana Technological University,1,255,102,102
University of Providence,1,164,147,99
Rocky Mountain College,1,181,183,185
Gonzaga University,1,255,255,254
Whitman College,1,197,179,88
Whitworth University,1,64,174,73
The College of Idaho,1,200,16,46
Loras College,1,64,174,73
St. Thomas Aquinas College,1,49,83,56
Thomas More University,1,197,179,88
Carroll College,2,255,255,255
The University of Montana,2,0,0,0
Montana Technological University,2,0,0,0
University of Providence,2,0,0,0
Rocky Mountain College,2,0,0,0
Gonzaga University,2,0,0,0
Whitman College,2,0,0,0
Whitworth University,2,0,0,0
The College of Idaho,2,0,0,0
Loras College,2,0,0,0
St. Thomas Aquinas College,2,0,0,0
Thomas More University,2,0,0,0
