School,Group
Carroll College,Carroll College
The University of Montana,Montana Schools
Montana Technological University,Montana Schools
University of Providence,Montana Schools
Rocky Mountain College,Montana Schools
Gonzaga University,Regional Schools
Whitman College,Regional Schools
Whitworth University,Regional Schools
The College of Idaho,Regional Schools
Loras College,National Schools
St. Thomas Aquinas College,National Schools
Thomas More University,National Schools
The University of Montana,Overall
Montana Technological University,Overall
University of Providence,Overall
Rocky Mountain College,Overall
Gonzaga University,Overall
Whitman College,Overall
Whitworth University,Overall
The College of Idaho,Overall
Loras College,Overall
St. Thomas Aquinas College,Overall
Thomas More University,Overall
