Var,Table,Null Percentage
TERMS.TERMS_ID,TERMS,0.0
TERMS.TERM_START_DATE,TERMS,0.0
MAJORS.MAJ_DESC,MAJORS,0.0
STUDENT_ACAD_PROGRAMS_VIEW.STUDENT_ID,STUDENT_ACAD_PROGRAMS_VIEW,0.0
STUDENT_ACAD_PROGRAMS_VIEW.STUDENT_LAST_NAME,STUDENT_ACAD_PROGRAMS_VIEW,0.0
STUDENT_ACAD_PROGRAMS_VIEW.STUDENT_FIRST_NAME,STUDENT_ACAD_PROGRAMS_VIEW,0.0
TERMS.TERM_END_DATE,TERMS,0.0
STUDENT_ACAD_PROGRAMS_VIEW.STP_CURRENT_STATUS,STUDENT_ACAD_PROGRAMS_VIEW,0.009
MAJORS.MAJORS_ID,MAJORS,0.0
STPR_MAJOR_LIST_VIEW.STPR_ADDNL_MAJOR_START_DATE,STPR_MAJOR_LIST_VIEW,0.41
STPR_MAJOR_LIST_VIEW.STPR_ADDNL_MAJOR_END_DATE,STPR_MAJOR_LIST_VIEW,0.421
STA_OTHER_COHORTS_VIEW.STA_OTHER_COHORT_GROUPS,STA_OTHER_COHORTS_VIEW,0.0
STA_OTHER_COHORTS_VIEW.STA_OTHER_COHORT_START_DATES,STA_OTHER_COHORTS_VIEW,0.0
STA_OTHER_COHORTS_VIEW.STA_OTHER_COHORT_END_DATES,STA_OTHER_COHORTS_VIEW,0.185
